"index","alfa-romero","audi","bmw","chevrolet","dodge","honda","isuzu","jaguar","mazda","mercedes-benz","mercury","mitsubishi","nissan","peugot","plymouth","porsche","saab","subaru","toyota","volkswagen","volvo","diesel","gas","convertible","hardtop","hatchback","sedan","wagon","price","num-of-doors","avg-mpg","dohc","l","ohc","ohcf","ohcv","num-of-cylinders","bore","horsepower","4wd","fwd","rwd"
"15","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","30760","4","19.0","0","0","1","0","0","6","3.62","182","0","0","1"
"139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","7053","2","28.5","0","0","0","1","0","4","3.62","73","0","1","0"
"190","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","9980","2","26.5","0","0","1","0","0","4","3.19","90","0","1","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","16500","2","24.0","1","0","0","0","0","4","3.47","111","0","0","1"
"161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","8358","4","31.0","0","0","1","0","0","4","3.19","70","0","1","0"
"53","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","6695","4","34.5","0","0","1","0","0","4","3.03","68","0","1","0"
"136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","18150","2","22.5","1","0","0","0","0","4","3.54","160","0","1","0"
"96","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","7499","4","34.0","0","0","1","0","0","4","3.15","69","0","1","0"
"198","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","18420","4","19.5","0","0","1","0","0","4","3.62","162","0","0","1"
"172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","17669","2","27.0","0","0","1","0","0","4","3.62","116","0","0","1"
"170","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","11199","2","27.0","0","0","1","0","0","4","3.62","116","0","0","1"
"80","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","9959","2","26.5","0","0","1","0","0","4","3.17","116","0","1","0"
"77","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","6189","2","34.5","0","0","1","0","0","4","2.97","68","0","1","0"
"51","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","6095","2","34.5","0","0","1","0","0","4","3.03","68","0","1","0"
"36","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","7295","4","32.0","0","0","1","0","0","4","2.92","76","0","1","0"
"180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","15690","4","22.0","1","0","0","0","0","6","3.27","156","0","0","1"
"98","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","8249","2","34.0","0","0","1","0","0","4","3.15","69","0","1","0"
"7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","18920","4","22.0","0","0","1","0","0","5","3.19","110","0","1","0"
"87","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","9279","4","26.5","0","0","1","0","0","4","3.17","116","0","1","0"
"79","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","7689","2","27.0","0","0","1","0","0","4","3.03","102","0","1","0"
"195","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","13415","4","25.5","0","0","1","0","0","4","3.78","114","0","0","1"
"47","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","32250","4","17.0","1","0","0","0","0","6","3.63","176","0","0","1"
"116","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","17950","4","30.5","0","1","0","0","0","4","3.7","95","0","0","1"
"5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","15250","2","22.0","0","0","1","0","0","5","3.19","110","0","1","0"
"124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","12764","2","21.5","0","0","1","0","0","4","3.59","145","0","0","1"
"166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","9538","2","27.5","1","0","0","0","0","4","3.24","112","0","0","1"
"105","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","19699","2","20.0","0","0","0","0","1","6","3.43","200","0","0","1"
"176","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","10898","4","29.5","0","0","1","0","0","4","3.31","92","0","1","0"
"201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","19045","4","22.0","0","0","1","0","0","4","3.78","160","0","0","1"
"26","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","7609","4","34.5","0","0","1","0","0","4","2.97","68","0","1","0"
"33","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","6529","2","32.0","0","0","1","0","0","4","2.91","34","0","1","0"
"142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","7775","4","30.5","0","0","0","1","0","4","3.62","82","0","1","0"
"30","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","6479","2","51.5","0","0","1","0","0","4","2.91","58","0","1","0"
"137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","18620","4","22.5","1","0","0","0","0","4","3.54","160","0","1","0"
"17","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","36880","4","17.5","0","0","1","0","0","6","3.62","182","0","0","1"
"82","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","12629","2","21.5","0","0","1","0","0","4","3.58","145","0","1","0"
